Numero do medidor;Posicao do medidor lida;Nota de Leitura Atual;Foto do medidor
3213492267;6521;NA;PSP_EXTRATLEITIMPL_030726_0121_20000000012852988478_000.jpg
40482962;9729;L131;PSP_EXTRATLEITIMPL_030726_0121_20000000003053017019_000.jpg
30501853;24788;NA;PSP_EXTRATLEITIMPL_030726_0121_20000000006502995976_000.jpg
82861661;20512;NA;PSP_EXTRATLEITIMPL_030726_0121_20000000012552976989_000.jpg
3221134515;1698;NA;PSP_EXTRATLEITIMPL_030726_0121_20000000017102988986_000.jpg
82806814;14247;NA;PSP_EXTRATLEITIMPL_030726_0121_20000000018003004648_000.jpg
3241542741;15502;T181;PSP_EXTRATLEITIMPL_030726_0121_20000000002402990582_000.jpg
62109238;32070;L101;PSP_EXTRATLEITIMPL_030726_0121_20000000002303011287_000.jpg
3220820563;606;NA;PSP_EXTRATLEITIMPL_030726_0121_20000000000202980515_000.jpg
3172755150;23591;NA;NA
L23637;29997;NA;PSP_EXTRATLEITIMPL_030726_0121_20000000006602993796_000.jpg
3190041858;18407;P111;PSP_EXTRATLEITIMPL_030726_0121_20000000004653005508_000.jpg
3201867893;32174;NA;PSP_EXTRATLEITIMPL_030726_0121_20000000015502982528_000.jpg
70850397;13830;L101;PSP_EXTRATLEITIMPL_030726_0121_20000000000003008520_000.jpg
3242284592;7120;T181;PSP_EXTRATLEITIMPL_030726_0121_20000000012002989566_000.jpg
50628191;85044;NA;PSP_EXTRATLEITIMPL_030726_0121_20000000012053008152_000.jpg
80594658;4330;NA;PSP_EXTRATLEITIMPL_030726_0121_20000000013052996127_000.jpg
ME69492;44200;L101;PSP_EXTRATLEITIMPL_030726_0121_20000000016853014318_000.jpg
90554247;8004;NA;PSP_EXTRATLEITIMPL_030726_0121_20000000005653000347_000.jpg
IC60087;38521;NA;NA
30497350;17226;NA;NA
3171772655;94296;NA;PSP_EXTRATLEITIMPL_030726_0121_20000000001252992676_000.jpg
3231762760;1165;L101;PSP_EXTRATLEITIMPL_030726_0121_20000000016653023000_000.jpg
B93422;87883;NA;PSP_EXTRATLEITIMPL_030726_0121_20000000007902991515_000.jpg
3190151920;2214;NA;PSP_EXTRATLEITIMPL_030726_0121_20000000007452984648_000.jpg
MH32193;24687;L101;PSP_EXTRATLEITIMPL_030726_0121_20000000003452994486_000.jpg
NU13204;28613;L101;PSP_EXTRATLEITIMPL_030726_0121_20000000013052986479_000.jpg
