Numero do medidor;Posicao do medidor lida;Nota de Leitura Atual;Foto do medidor
3231111165;29;NA;PSP_EXTRATLEITIMPL_200526_0352_20000000007102969765_001.jpg
3121984589;17413;NA;PSP_EXTRATLEITIMPL_200526_0352_20000000017202986121_000.jpg
3180489001;44248;NA;PSP_EXTRATLEITIMPL_200526_0352_20000000002003000126_000.jpg
3220284246;27269;T181;PSP_EXTRATLEITIMPL_200526_0352_20000000017152980917_000.jpg
3214284030;110794;T181;PSP_EXTRATLEITIMPL_200526_0352_20000000003002970833_000.jpg
T37262;47284;NA;PSP_EXTRATLEITIMPL_200526_0352_20000000012002952969_000.jpg
3220312991;16308;T181;PSP_EXTRATLEITIMPL_200526_0352_20000000003452958847_000.jpg
3213988025;27667;NA;PSP_EXTRATLEITIMPL_200526_0352_20000000006602984536_000.jpg
125685B;34510;NA;PSP_EXTRATLEITIMPL_200526_0352_20000000003102979955_000.jpg
83050241;12459;NA;PSP_EXTRATLEITIMPL_200526_0352_20000000006152967866_000.jpg
3212536589;29510;T181;PSP_EXTRATLEITIMPL_200526_0352_20000000001202978382_000.jpg
3231750451;374;NA;PSP_EXTRATLEITIMPL_200526_0352_20000000003502968970_000.jpg
3243801108/3226155960;7632;NA;PSP_EXTRATLEITIMPL_200526_0352_20000000006452965896_000.jpg
5256269114/F50081;204;P111;PSP_EXTRATLEITIMPL_200526_0352_20000000009152967809_000.jpg
3131290917;19204;NA;PSP_EXTRATLEITIMPL_200526_0352_20000000017502966967_000.jpg
3180499155;97446;T181;PSP_EXTRATLEITIMPL_200526_0352_20000000007702973808_000.jpg
MG00963;1;P111;PSP_EXTRATLEITIMPL_200526_0352_20000000014102952756_000.jpg
3242582534;10019;T181;PSP_EXTRATLEITIMPL_200526_0352_20000000017502989236_000.jpg
3205392580;1348;T111;PSP_EXTRATLEITIMPL_200526_0352_20000000004352994229_000.jpg
51283635;22046;NA;NA
3211084951;8862;L101;PSP_EXTRATLEITIMPL_200526_0352_20000000006602985581_000.jpg
3010082704;41820;L101;PSP_EXTRATLEITIMPL_200526_0352_20000000001452988473_000.jpg
40098038;136;P111;PSP_EXTRATLEITIMPL_200526_0352_20000000015252981578_000.jpg
3224785584;27420;NA;PSP_EXTRATLEITIMPL_200526_0352_20000000008702978607_000.jpg
3192002124;4207;NA;PSP_EXTRATLEITIMPL_200526_0352_20000000018752984123_000.jpg
3242683527;3028;T181;PSP_EXTRATLEITIMPL_200526_0352_20000000013602974301_000.jpg
3121683023;6;P111;PSP_EXTRATLEITIMPL_200526_0352_20000000006502993321_000.jpg
3224785606;297;NA;PSP_EXTRATLEITIMPL_200526_0352_20000000007052986338_000.jpg
80170793;24561;L101;PSP_EXTRATLEITIMPL_200526_0352_20000000000702963330_000.jpg
3182436681;7468;NA;PSP_EXTRATLEITIMPL_200526_0352_20000000006252965930_000.jpg
3203798856;18844;T181;PSP_EXTRATLEITIMPL_200526_0352_20000000006352959942_000.jpg
3244190854;61510;NA;NA
3245112423/3223285413/3182700818;5140;T181;NA
30149297;445;P111;PSP_EXTRATLEITIMPL_200526_0352_20000000004452997639_000.jpg
3231028896;8758;T181;PSP_EXTRATLEITIMPL_200526_0352_20000000006602984537_000.jpg
3011033308;24615;NA;PSP_EXTRATLEITIMPL_200526_0352_20000000012502977609_000.jpg
5257043675/Q37950;4;NA;PSP_EXTRATLEITIMPL_200526_0352_20000000001502975684_000.jpg
3244291553/3011039378;3909;T181;PSP_EXTRATLEITIMPL_200526_0352_20000000003552981663_000.jpg
3232385293;25661;L101;PSP_EXTRATLEITIMPL_200526_0352_20000000012152953868_000.jpg
3200374648;17022;NA;PSP_EXTRATLEITIMPL_200526_0352_20000000002402958877_000.jpg
3200444042;126;P111;PSP_EXTRATLEITIMPL_200526_0352_20000000013852962872_000.jpg
3231086144;4072;T181;PSP_EXTRATLEITIMPL_200526_0352_20000000018202963984_000.jpg
62170166;48095;NA;NA
3231643329;3608;NA;PSP_EXTRATLEITIMPL_200526_0352_20000000014052982215_000.jpg
MC12410;12480;NA;PSP_EXTRATLEITIMPL_200526_0352_20000000015402970235_000.jpg
3230781884;3339;NA;PSP_EXTRATLEITIMPL_200526_0352_20000000002652991223_000.jpg
3193531830;3538;NA;PSP_EXTRATLEITIMPL_200526_0352_20000000002552975616_000.jpg
3200435094;28685;T181;PSP_EXTRATLEITIMPL_200526_0352_20000000001803005048_000.jpg
3241099465;1459;L101;PSP_EXTRATLEITIMPL_200526_0352_20000000013102967812_000.jpg
30223063;261;L101;PSP_EXTRATLEITIMPL_200526_0352_20000000014602989004_000.jpg
5257049665/3010240638;9;NA;PSP_EXTRATLEITIMPL_200526_0352_20000000019302961997_000.jpg
V24884;32011;NA;PSP_EXTRATLEITIMPL_200526_0352_20000000017202988037_000.jpg
3154026311;18090;NA;PSP_EXTRATLEITIMPL_200526_0352_20000000008802981043_000.jpg
3182611246;1516;NA;PSP_EXTRATLEITIMPL_200526_0352_20000000012302966918_000.jpg
3182871663;34224;T181;NA
3211557310;67656;NA;NA
61902970;17506;NA;PSP_EXTRATLEITIMPL_200526_0352_20000000011202975562_000.jpg
3010203412;16664;NA;NA
3191502930;22773;NA;NA
3200695657;2779;NA;NA
3200505793;15642;NA;NA
3220455890;33450;NA;NA
3204677750;40378;NA;NA
3192169991;81066;NA;PSP_EXTRATLEITIMPL_200526_0352_20000000018852985221_000.jpg
3182871647;92794;NA;NA
3182835535;1115;NA;PSP_EXTRATLEITIMPL_200526_0352_20000000017102988223_000.jpg
6251128454/3243590840/3220717932;765;T181;PSP_EXTRATLEITIMPL_200526_0352_20000000008102979756_000.jpg
E76809;46;P111;PSP_EXTRATLEITIMPL_200526_0352_20000000003952974412_000.jpg
3211137230;39236;T181;PSP_EXTRATLEITIMPL_200526_0352_20000000013252968305_000.jpg
3225149231;42960;NA;PSP_EXTRATLEITIMPL_200526_0352_20000000019002970686_000.jpg
3211984189;8712;NA;PSP_EXTRATLEITIMPL_200526_0352_20000000004703008121_000.jpg
3213815112;1588;NA;PSP_EXTRATLEITIMPL_200526_0352_20000000012602973628_000.jpg
3212221839;3213;NA;PSP_EXTRATLEITIMPL_200526_0352_20000000013202970515_000.jpg
3230858828;9530;T181;PSP_EXTRATLEITIMPL_200526_0352_20000000011302964764_000.jpg
3241228230;1559;T111;PSP_EXTRATLEITIMPL_200526_0352_20000000017102980591_000.jpg
3153411254;6076;NA;PSP_EXTRATLEITIMPL_200526_0352_20000000007502976401_000.jpg
80662882;48575;NA;PSP_EXTRATLEITIMPL_200526_0352_20000000010702976716_000.jpg
3205633714;1988;T111;PSP_EXTRATLEITIMPL_200526_0352_20000000010802962699_000.jpg
3154864996;185870;NA;PSP_EXTRATLEITIMPL_200526_0352_20000000016302973567_000.jpg
3200443313;37758;T181;PSP_EXTRATLEITIMPL_200526_0352_20000000013452968821_000.jpg
L06138;79606;L101;PSP_EXTRATLEITIMPL_200526_0352_20000000014502951859_000.jpg
3153477093;21723;T111;PSP_EXTRATLEITIMPL_200526_0352_20000000010202962833_000.jpg
3221848054;73240;NA;PSP_EXTRATLEITIMPL_200526_0352_20000000011652966837_000.jpg
3212496757;173599;NA;PSP_EXTRATLEITIMPL_200526_0352_20000000016252952907_000.jpg
164431;5922;L101;PSP_EXTRATLEITIMPL_200526_0352_20000000000302952886_000.jpg
71172406;17592;L101;PSP_EXTRATLEITIMPL_200526_0352_20000000016852986708_000.jpg
3191783076;14153;NA;PSP_EXTRATLEITIMPL_200526_0352_20000000008602977588_000.jpg
3242407392/3222665875;6805;NA;PSP_EXTRATLEITIMPL_200526_0352_20000000002902992054_000.jpg
3231034241;10527;T181;PSP_EXTRATLEITIMPL_200526_0352_20000000000752970405_000.jpg
3192178125;48090;NA;PSP_EXTRATLEITIMPL_200526_0352_20000000012702961829_000.jpg
3220736260;2;P111;PSP_EXTRATLEITIMPL_200526_0352_20000000018002970867_000.jpg
F52505;3176;NA;PSP_EXTRATLEITIMPL_200526_0352_20000000011102943942_000.jpg
3192178010;156573;NA;PSP_EXTRATLEITIMPL_200526_0352_20000000013052949926_000.jpg
3193401480;75737;B131;PSP_EXTRATLEITIMPL_200526_0352_20000000003352947978_000.jpg
3242525026;5880;T181;PSP_EXTRATLEITIMPL_200526_0352_20000000006552980716_000.jpg
3221551027;35;P111;PSP_EXTRATLEITIMPL_200526_0352_20000000007502970723_000.jpg
3233207232;120;B111;PSP_EXTRATLEITIMPL_200526_0352_20000000002252963976_000.jpg
3242276620;167349;T181;PSP_EXTRATLEITIMPL_200526_0352_20000000009102973217_000.jpg
3224159713;2575;NA;PSP_EXTRATLEITIMPL_200526_0352_20000000017052992328_000.jpg
3201115875;2648;NA;PSP_EXTRATLEITIMPL_200526_0352_20000000008802952949_000.jpg
3161180105;6313;L101;PSP_EXTRATLEITIMPL_200526_0352_20000000018752969847_000.jpg
3180870619;13179;NA;PSP_EXTRATLEITIMPL_200526_0352_20000000010402952855_000.jpg
3202056015;4865;NA;PSP_EXTRATLEITIMPL_200526_0352_20000000016352969563_000.jpg
3180872816;3311;NA;PSP_EXTRATLEITIMPL_200526_0352_20000000008102969842_000.jpg
3224707524;21755;T181;PSP_EXTRATLEITIMPL_200526_0352_20000000006152989124_000.jpg
83659653;0;P111;PSP_EXTRATLEITIMPL_200526_0352_20000000011252972011_000.jpg
3011025936;4264;NA;PSP_EXTRATLEITIMPL_200526_0352_20000000008452968381_000.jpg
3192767252;4659;NA;PSP_EXTRATLEITIMPL_200526_0352_20000000008652979639_000.jpg
3232905009;8184;NA;PSP_EXTRATLEITIMPL_200526_0352_20000000003052981630_000.jpg
122221B;91168;NA;PSP_EXTRATLEITIMPL_200526_0352_20000000003752969582_000.jpg
3231902243;0;T111;PSP_EXTRATLEITIMPL_200526_0352_20000000011002979389_000.jpg
50198367;3712;NA;PSP_EXTRATLEITIMPL_200526_0352_20000000009252975299_000.jpg
3182416842;4482;T111;PSP_EXTRATLEITIMPL_200526_0352_20000000005852981326_000.jpg
3141813799;33359;NA;PSP_EXTRATLEITIMPL_200526_0352_20000000009802954809_000.jpg
3200992686;1444;NA;PSP_EXTRATLEITIMPL_200526_0352_20000000002852963978_000.jpg
3120477896;67190;NA;PSP_EXTRATLEITIMPL_200526_0352_20000000018452964905_000.jpg
38147B;13796;NA;PSP_EXTRATLEITIMPL_200526_0352_20000000004152971907_000.jpg
6250628933/3242430106;1922;NA;PSP_EXTRATLEITIMPL_200526_0352_20000000000702945808_000.jpg
3193911004;7;B111;PSP_EXTRATLEITIMPL_200526_0352_20000000007002984525_000.jpg
MD25901;21223;NA;PSP_EXTRATLEITIMPL_200526_0352_20000000004752995521_000.jpg
3204272661;17601;T181;PSP_EXTRATLEITIMPL_200526_0352_20000000005452958947_000.jpg
3193034704;5509;P111;PSP_EXTRATLEITIMPL_200526_0352_20000000004652979853_000.jpg
3213147730;3754;T111;PSP_EXTRATLEITIMPL_200526_0352_20000000017252991402_000.jpg
V34629;23962;T111;PSP_EXTRATLEITIMPL_200526_0352_20000000019902991391_000.jpg
