Numero do medidor;Posicao do medidor lida;Nota de Leitura Atual;Foto do medidor
61109536;45214;NA;NA
P06612;24924;NA;PSP_EXTRATLEITIMPL_220526_0408_20000000015952962741_000.jpg
51098900;0;P111;PSP_EXTRATLEITIMPL_220526_0408_20000000013752950944_000.jpg
3132544858;10455;NA;PSP_EXTRATLEITIMPL_220526_0408_20000000019952970975_000.jpg
3192192365;37101;NA;PSP_EXTRATLEITIMPL_220526_0408_20000000008202975511_000.jpg
3203783514;4698;T181;NA
5257049541/3011173019;36;NA;PSP_EXTRATLEITIMPL_220526_0408_20000000003602987281_000.jpg
3200433970;36244;T181;PSP_EXTRATLEITIMPL_220526_0408_20000000018652986877_000.jpg
61669809;1510;NA;PSP_EXTRATLEITIMPL_220526_0408_20000000001352969981_000.jpg
3232758170;36244;T181;PSP_EXTRATLEITIMPL_220526_0408_20000000003502970984_000.jpg
50410919;21791;NA;NA
3200097016;3071;NA;PSP_EXTRATLEITIMPL_220526_0408_20000000007152988249_000.jpg
3170944568;11126;NA;PSP_EXTRATLEITIMPL_220526_0408_20000000000902977372_000.jpg
80176546;21082;NA;PSP_EXTRATLEITIMPL_220526_0408_20000000002502976933_000.jpg
3151792773;2436;NA;NA
3191251490;9555;NA;NA
3221920952;1151;L101;NA
3183002995;53;L101;PSP_EXTRATLEITIMPL_220526_0408_20000000003552995008_000.jpg
3244291162/3150654393;4085;T181;PSP_EXTRATLEITIMPL_220526_0408_20000000002252996014_000.jpg
90414640;15579;NA;PSP_EXTRATLEITIMPL_220526_0408_20000000018752986108_000.jpg
3225572827;3213;NA;PSP_EXTRATLEITIMPL_220526_0408_20000000012902979008_000.jpg
3205659020;5848;NA;PSP_EXTRATLEITIMPL_220526_0408_20000000016702990781_000.jpg
3130725014;7989;NA;PSP_EXTRATLEITIMPL_220526_0408_20000000008552969825_000.jpg
3142462949;11119;NA;PSP_EXTRATLEITIMPL_220526_0408_20000000003702990050_000.jpg
3205659080;12309;NA;PSP_EXTRATLEITIMPL_220526_0408_20000000010952949920_000.jpg
81356602;5502;NA;PSP_EXTRATLEITIMPL_220526_0408_20000000001152980049_000.jpg
3241212253;1;P111;PSP_EXTRATLEITIMPL_220526_0408_20000000008152959921_000.jpg
3153489792;26688;NA;PSP_EXTRATLEITIMPL_220526_0408_20000000012352965481_000.jpg
61808400;3411;T111;PSP_EXTRATLEITIMPL_220526_0408_20000000001952991353_000.jpg
3183382933;643;NA;PSP_EXTRATLEITIMPL_220526_0408_20000000012152969384_000.jpg
3202327540;1470;NA;PSP_EXTRATLEITIMPL_220526_0408_20000000013502975413_000.jpg
50613313;7421;NA;PSP_EXTRATLEITIMPL_220526_0408_20000000009802974007_000.jpg
3241648272;14965;T181;PSP_EXTRATLEITIMPL_220526_0408_20000000002602966980_000.jpg
3223304671;39790;T181;PSP_EXTRATLEITIMPL_220526_0408_20000000017752989450_000.jpg
3241229504;871;NA;PSP_EXTRATLEITIMPL_220526_0408_20000000005002997401_000.jpg
3210663052;24094;NA;PSP_EXTRATLEITIMPL_220526_0408_20000000004752995593_000.jpg
3222988968;1852;NA;PSP_EXTRATLEITIMPL_220526_0408_20000000016952986603_000.jpg
3160948794;56485;NA;PSP_EXTRATLEITIMPL_220526_0408_20000000010602968544_000.jpg
3202532275;6799;NA;PSP_EXTRATLEITIMPL_220526_0408_20000000019002973573_000.jpg
3182925399;634;T111;PSP_EXTRATLEITIMPL_220526_0408_20000000009602967854_000.jpg
3205556914;3630;T111;PSP_EXTRATLEITIMPL_220526_0408_20000000004702997706_000.jpg
3010202772;22293;NA;PSP_EXTRATLEITIMPL_220526_0408_20000000007602975551_000.jpg
V39047;8185;L101;PSP_EXTRATLEITIMPL_220526_0408_20000000001602986594_000.jpg
3193553892;28628;T111;PSP_EXTRATLEITIMPL_220526_0408_20000000011352966035_000.jpg
5257318178/82898352;4160;NA;PSP_EXTRATLEITIMPL_220526_0408_20000000007952965961_000.jpg
J50360;13539;NA;PSP_EXTRATLEITIMPL_220526_0408_20000000010752959949_000.jpg
3183455256;54718;NA;PSP_EXTRATLEITIMPL_220526_0408_20000000006052979289_000.jpg
3242020145;1216;NA;PSP_EXTRATLEITIMPL_220526_0408_20000000013102959982_000.jpg
640037628;1672;NA;PSP_EXTRATLEITIMPL_220526_0408_20000000015652972159_000.jpg
50485900;2082;NA;PSP_EXTRATLEITIMPL_220526_0408_20000000003002986172_000.jpg
3191330284;280;NA;PSP_EXTRATLEITIMPL_220526_0408_20000000011352961367_000.jpg
3180866778;300;NA;PSP_EXTRATLEITIMPL_220526_0408_20000000004752997445_000.jpg
